timestamp,datetime,latitude,longitude,gps_accuracy_m,gps_speed_ms,gps_bearing_deg,gps_altitude_m,network_type,override_network_type,generation,is_5g,is_5g_actual,is_5g_display,nr_cell_seen,nr_serving_cell_seen,serving_cell_id,serving_pci,serving_freq_arfcn,serving_band,serving_tac,mcc,mnc,rsrp_dbm,rsrq_db,rssi_dbm,sinr_snr_db,signal_level,timing_advance_lte,csi_rsrp_dbm,csi_rsrq_db,csi_sinr_db,rx_speed_Bps,tx_speed_Bps,rx_bitrate_Mbps,tx_bitrate_Mbps,neighbor_count,nr_neighbor_count,lte_neighbor_count,imu_speed_ms,handover_detected,ping_pong_detected,neighbors_json
1779767505804,2026-05-26 12:51:45,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NONE,4G,false,false,false,false,false,52546050,322,3050,7,8282,450,06,-85,-10,-57,3,4,1,,,,0,0,0.0000,0.0000,11,0,11,0.0,false,false,"[{""type"":""LTE"",""pci"":290,""earfcn"":3050,""tac"":null,""rsrp"":-87,""rsrq"":-9,""rssi"":-63,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":58,""earfcn"":3050,""tac"":null,""rsrp"":-91,""rsrq"":-14,""rssi"":-63,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":15,""earfcn"":3050,""tac"":null,""rsrp"":-97,""rsrq"":-20,""rssi"":-65,""snr"":null,""ta"":1,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-82,""rsrq"":-13,""rssi"":-59,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":15,""earfcn"":2600,""tac"":null,""rsrp"":-90,""rsrq"":-19,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-87,""rsrq"":-18,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-87,""rsrq"":-18,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-15,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-87,""rsrq"":-16,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-88,""rsrq"":-17,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":15,""earfcn"":100,""tac"":null,""rsrp"":-90,""rsrq"":-17,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""}]"
1779767505810,2026-05-26 12:51:45,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NR_NSA,5G,true,false,true,false,false,52546050,322,3050,7,8282,450,06,-85,-10,-57,3,4,1,,,,0,0,0.0000,0.0000,11,0,11,0.0,false,false,"[{""type"":""LTE"",""pci"":290,""earfcn"":3050,""tac"":null,""rsrp"":-87,""rsrq"":-9,""rssi"":-63,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":58,""earfcn"":3050,""tac"":null,""rsrp"":-91,""rsrq"":-14,""rssi"":-63,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":15,""earfcn"":3050,""tac"":null,""rsrp"":-97,""rsrq"":-20,""rssi"":-65,""snr"":null,""ta"":1,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-82,""rsrq"":-13,""rssi"":-59,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":15,""earfcn"":2600,""tac"":null,""rsrp"":-90,""rsrq"":-19,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-87,""rsrq"":-18,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-87,""rsrq"":-18,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-15,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-87,""rsrq"":-16,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-88,""rsrq"":-17,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":15,""earfcn"":100,""tac"":null,""rsrp"":-90,""rsrq"":-17,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""}]"
1779767509180,2026-05-26 12:51:49,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NR_NSA,5G,true,false,true,false,false,52546049,290,3050,7,8282,450,06,-84,-11,-53,3,4,0,,,,1972,3610,0.0158,0.0289,11,0,11,0.26862803,true,false,"[{""type"":""LTE"",""pci"":322,""earfcn"":3050,""tac"":null,""rsrp"":-83,""rsrq"":-11,""rssi"":-59,""snr"":null,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""pci"":58,""earfcn"":3050,""tac"":null,""rsrp"":-90,""rsrq"":-17,""rssi"":-61,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":15,""earfcn"":3050,""tac"":null,""rsrp"":-92,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-87,""rsrq"":-9,""rssi"":-67,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":15,""earfcn"":2600,""tac"":null,""rsrp"":-97,""rsrq"":-20,""rssi"":-67,""snr"":null,""ta"":0,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-90,""rsrq"":-12,""rssi"":-67,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-93,""rsrq"":-10,""rssi"":-67,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-76,""rsrq"":-8,""rssi"":-59,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-12,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-87,""rsrq"":-16,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":15,""earfcn"":100,""tac"":null,""rsrp"":-96,""rsrq"":-20,""rssi"":-65,""snr"":null,""ta"":0,""level"":2,""bands"":""1""}]"
1779767510279,2026-05-26 12:51:50,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NR_NSA,5G,true,false,true,false,false,52546050,322,3050,7,8282,450,06,-82,-11,-51,5,4,1,,,,7585,3164,0.0607,0.0253,10,0,10,0.1259073,true,true,"[{""type"":""LTE"",""pci"":290,""earfcn"":3050,""tac"":null,""rsrp"":-86,""rsrq"":-11,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":58,""earfcn"":3050,""tac"":null,""rsrp"":-90,""rsrq"":-15,""rssi"":-63,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-85,""rsrq"":-9,""rssi"":-67,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":15,""earfcn"":2600,""tac"":null,""rsrp"":-97,""rsrq"":-16,""rssi"":-67,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-95,""rsrq"":-18,""rssi"":-67,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-92,""rsrq"":-11,""rssi"":-67,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-79,""rsrq"":-10,""rssi"":-61,""snr"":null,""ta"":1,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-88,""rsrq"":-13,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-16,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":15,""earfcn"":100,""tac"":null,""rsrp"":-96,""rsrq"":-20,""rssi"":-65,""snr"":null,""ta"":1,""level"":2,""bands"":""1""}]"
1779767510811,2026-05-26 12:51:50,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NR_NSA,5G,true,false,true,false,false,52546050,322,3050,7,8282,450,06,-82,-11,-51,5,4,1,,,,0,0,0.0000,0.0000,10,0,10,0.062701985,false,false,"[{""type"":""LTE"",""pci"":290,""earfcn"":3050,""tac"":null,""rsrp"":-86,""rsrq"":-11,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":58,""earfcn"":3050,""tac"":null,""rsrp"":-90,""rsrq"":-15,""rssi"":-63,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-85,""rsrq"":-9,""rssi"":-67,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":15,""earfcn"":2600,""tac"":null,""rsrp"":-97,""rsrq"":-16,""rssi"":-67,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-95,""rsrq"":-18,""rssi"":-67,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-92,""rsrq"":-11,""rssi"":-67,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-79,""rsrq"":-10,""rssi"":-61,""snr"":null,""ta"":1,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-88,""rsrq"":-13,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-16,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":15,""earfcn"":100,""tac"":null,""rsrp"":-96,""rsrq"":-20,""rssi"":-65,""snr"":null,""ta"":1,""level"":2,""bands"":""1""}]"
1779767515815,2026-05-26 12:51:55,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NR_NSA,5G,true,false,true,false,false,52546050,322,3050,7,8282,450,06,-83,-10,-53,5,4,0,,,,2272646,41132,18.1812,0.3291,11,0,11,1.1376747,false,false,"[{""type"":""LTE"",""pci"":290,""earfcn"":3050,""tac"":null,""rsrp"":-88,""rsrq"":-12,""rssi"":-65,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":15,""earfcn"":3050,""tac"":null,""rsrp"":-103,""rsrq"":-20,""rssi"":-65,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":58,""earfcn"":3050,""tac"":null,""rsrp"":-89,""rsrq"":-15,""rssi"":-65,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-77,""rsrq"":-11,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":15,""earfcn"":2600,""tac"":null,""rsrp"":-85,""rsrq"":-16,""rssi"":-61,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-90,""rsrq"":-19,""rssi"":-61,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-80,""rsrq"":-8,""rssi"":-61,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-79,""rsrq"":-10,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-85,""rsrq"":-16,""rssi"":-57,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":15,""earfcn"":100,""tac"":null,""rsrp"":-88,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-87,""rsrq"":-19,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""1""}]"
1779767516223,2026-05-26 12:51:56,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NR_NSA,5G,true,false,true,false,false,52546049,290,3050,7,8282,450,06,-81,-11,-51,8,4,1,,,,0,0,0.0000,0.0000,11,0,11,1.386107,true,true,"[{""type"":""LTE"",""pci"":322,""earfcn"":3050,""tac"":null,""rsrp"":-83,""rsrq"":-15,""rssi"":-59,""snr"":null,""ta"":1,""level"":4,""bands"":""7""},{""type"":""LTE"",""pci"":15,""earfcn"":3050,""tac"":null,""rsrp"":-92,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":58,""earfcn"":3050,""tac"":null,""rsrp"":-89,""rsrq"":-17,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-80,""rsrq"":-11,""rssi"":-51,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":15,""earfcn"":2600,""tac"":null,""rsrp"":-83,""rsrq"":-18,""rssi"":-51,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-85,""rsrq"":-17,""rssi"":-57,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-77,""rsrq"":-15,""rssi"":-51,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-83,""rsrq"":-14,""rssi"":-57,""snr"":null,""ta"":1,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-18,""rssi"":-57,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":15,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-18,""rssi"":-57,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-87,""rsrq"":-17,""rssi"":-57,""snr"":null,""ta"":1,""level"":3,""bands"":""1""}]"
1779767520826,2026-05-26 12:52:00,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NR_NSA,5G,true,false,true,false,false,52546049,290,3050,7,8282,450,06,-81,-11,-51,8,4,1,,,,679031,4516,5.4322,0.0361,11,0,11,0.011865771,false,false,"[{""type"":""LTE"",""pci"":322,""earfcn"":3050,""tac"":null,""rsrp"":-83,""rsrq"":-15,""rssi"":-59,""snr"":null,""ta"":1,""level"":4,""bands"":""7""},{""type"":""LTE"",""pci"":15,""earfcn"":3050,""tac"":null,""rsrp"":-92,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":58,""earfcn"":3050,""tac"":null,""rsrp"":-89,""rsrq"":-17,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-80,""rsrq"":-11,""rssi"":-51,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":15,""earfcn"":2600,""tac"":null,""rsrp"":-83,""rsrq"":-18,""rssi"":-51,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-85,""rsrq"":-17,""rssi"":-57,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-77,""rsrq"":-15,""rssi"":-51,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-83,""rsrq"":-14,""rssi"":-57,""snr"":null,""ta"":1,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-18,""rssi"":-57,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":15,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-18,""rssi"":-57,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-87,""rsrq"":-17,""rssi"":-57,""snr"":null,""ta"":1,""level"":3,""bands"":""1""}]"
1779767525840,2026-05-26 12:52:05,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NR_NSA,5G,true,false,true,false,false,52546049,290,3050,7,8282,450,06,-81,-11,-51,8,4,1,,,,7649,2005,0.0612,0.0160,11,0,11,0.08788873,false,false,"[{""type"":""LTE"",""pci"":322,""earfcn"":3050,""tac"":null,""rsrp"":-83,""rsrq"":-15,""rssi"":-59,""snr"":null,""ta"":1,""level"":4,""bands"":""7""},{""type"":""LTE"",""pci"":15,""earfcn"":3050,""tac"":null,""rsrp"":-92,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":58,""earfcn"":3050,""tac"":null,""rsrp"":-89,""rsrq"":-17,""rssi"":-59,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-80,""rsrq"":-11,""rssi"":-51,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":15,""earfcn"":2600,""tac"":null,""rsrp"":-83,""rsrq"":-18,""rssi"":-51,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-85,""rsrq"":-17,""rssi"":-57,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-77,""rsrq"":-15,""rssi"":-51,""snr"":null,""ta"":1,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-83,""rsrq"":-14,""rssi"":-57,""snr"":null,""ta"":1,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-18,""rssi"":-57,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":15,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-18,""rssi"":-57,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-87,""rsrq"":-17,""rssi"":-57,""snr"":null,""ta"":1,""level"":3,""bands"":""1""}]"
1779767529983,2026-05-26 12:52:09,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NR_NSA,5G,true,false,true,false,false,51224577,443,3050,7,8283,450,06,-91,-9,-59,18,3,0,,,,523709,4890,4.1897,0.0391,10,0,10,0.07042409,true,false,"[{""type"":""LTE"",""pci"":290,""earfcn"":3050,""tac"":null,""rsrp"":-97,""rsrq"":-13,""rssi"":-71,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":486,""earfcn"":3050,""tac"":null,""rsrp"":-99,""rsrq"":-15,""rssi"":-71,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-96,""rsrq"":-13,""rssi"":-73,""snr"":null,""ta"":0,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":15,""earfcn"":2600,""tac"":null,""rsrp"":-75,""rsrq"":-19,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-101,""rsrq"":-18,""rssi"":-73,""snr"":null,""ta"":0,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-120,""rsrq"":-20,""rssi"":-75,""snr"":null,""ta"":0,""level"":0,""bands"":""5""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-93,""rsrq"":-14,""rssi"":-69,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-83,""rsrq"":-20,""rssi"":-53,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-84,""rsrq"":-19,""rssi"":-55,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":443,""earfcn"":100,""tac"":null,""rsrp"":-88,""rsrq"":-13,""rssi"":-63,""snr"":null,""ta"":0,""level"":3,""bands"":""1""}]"
1779767530853,2026-05-26 12:52:10,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NR_NSA,5G,true,false,true,false,false,51224577,443,3050,7,8283,450,06,-91,-9,-59,18,3,0,,,,0,0,0.0000,0.0000,10,0,10,0.037562132,false,false,"[{""type"":""LTE"",""pci"":290,""earfcn"":3050,""tac"":null,""rsrp"":-97,""rsrq"":-13,""rssi"":-71,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":486,""earfcn"":3050,""tac"":null,""rsrp"":-99,""rsrq"":-15,""rssi"":-71,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-96,""rsrq"":-13,""rssi"":-73,""snr"":null,""ta"":0,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":15,""earfcn"":2600,""tac"":null,""rsrp"":-75,""rsrq"":-19,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-101,""rsrq"":-18,""rssi"":-73,""snr"":null,""ta"":0,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-120,""rsrq"":-20,""rssi"":-75,""snr"":null,""ta"":0,""level"":0,""bands"":""5""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-93,""rsrq"":-14,""rssi"":-69,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-83,""rsrq"":-20,""rssi"":-53,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-84,""rsrq"":-19,""rssi"":-55,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":443,""earfcn"":100,""tac"":null,""rsrp"":-88,""rsrq"":-13,""rssi"":-63,""snr"":null,""ta"":0,""level"":3,""bands"":""1""}]"
1779767535862,2026-05-26 12:52:15,37.54744563,127.0470615,7.565076,0.0,,83.31182861328125,LTE,NR_NSA,5G,true,false,true,false,false,51224577,443,3050,7,8283,450,06,-86,-11,-55,16,3,1,,,,6123,1296,0.0490,0.0104,11,0,11,0.015111681,false,false,"[{""type"":""LTE"",""pci"":290,""earfcn"":3050,""tac"":null,""rsrp"":-97,""rsrq"":-15,""rssi"":-71,""snr"":null,""ta"":1,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":486,""earfcn"":3050,""tac"":null,""rsrp"":-96,""rsrq"":-15,""rssi"":-71,""snr"":null,""ta"":1,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":290,""earfcn"":2600,""tac"":null,""rsrp"":-98,""rsrq"":-14,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":443,""earfcn"":2600,""tac"":null,""rsrp"":-97,""rsrq"":-10,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":322,""earfcn"":2600,""tac"":null,""rsrp"":-100,""rsrq"":-17,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":58,""earfcn"":2600,""tac"":null,""rsrp"":-120,""rsrq"":-20,""rssi"":-75,""snr"":null,""ta"":1,""level"":0,""bands"":""5""},{""type"":""LTE"",""pci"":290,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-14,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":322,""earfcn"":100,""tac"":null,""rsrp"":-83,""rsrq"":-20,""rssi"":-53,""snr"":null,""ta"":1,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":58,""earfcn"":100,""tac"":null,""rsrp"":-84,""rsrq"":-19,""rssi"":-55,""snr"":null,""ta"":1,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":443,""earfcn"":100,""tac"":null,""rsrp"":-78,""rsrq"":-7,""rssi"":-61,""snr"":null,""ta"":1,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":486,""earfcn"":100,""tac"":null,""rsrp"":-92,""rsrq"":-17,""rssi"":-65,""snr"":null,""ta"":1,""level"":3,""bands"":""1""}]"
