timestamp,datetime,latitude,longitude,gps_accuracy_m,gps_speed_ms,gps_bearing_deg,gps_altitude_m,network_type,override_network_type,generation,is_5g,is_5g_actual,is_5g_display,nr_cell_seen,nr_serving_cell_seen,serving_cell_id,serving_pci,serving_freq_arfcn,serving_band,serving_tac,mcc,mnc,rsrp_dbm,rsrq_db,rssi_dbm,sinr_snr_db,signal_level,timing_advance_lte,csi_rsrp_dbm,csi_rsrq_db,csi_sinr_db,rx_speed_Bps,tx_speed_Bps,rx_bitrate_Mbps,tx_bitrate_Mbps,neighbor_count,nr_neighbor_count,lte_neighbor_count,neighbors_json
1778569658216,2026-05-12 16:07:38,37.50450475,126.75192298,4.786207,1.21,45.2,29.76434326171875,LTE,NONE,4G,false,false,false,false,false,51466241,32,3050,7,24603,450,06,-70,-10,-51,15,4,0,,,,0,0,0.0000,0.0000,4,0,4,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-81,""rsrq"":-18,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-57,""rsrq"":-13,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-68,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-74,""rsrq"":-19,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""}]"
1778569663220,2026-05-12 16:07:43,37.50507959,126.75276415,6.8186164,1.15,359.999,25.0909423828125,LTE,NR_NSA,5G,true,false,true,false,false,51466241,32,3050,7,24603,450,06,-70,-10,-51,15,4,0,,,,18679,15744,0.1494,0.1260,4,0,4,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-81,""rsrq"":-18,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-57,""rsrq"":-13,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-68,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-74,""rsrq"":-19,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""}]"
1778569668223,2026-05-12 16:07:48,37.50516955,126.75276424,6.612093,1.27,8.9,35.644287109375,LTE,NR_NSA,5G,true,false,true,false,false,51466241,32,3050,7,24603,450,06,-70,-10,-51,15,4,0,,,,2536,3313,0.0203,0.0265,4,0,4,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-81,""rsrq"":-18,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-57,""rsrq"":-13,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-68,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-74,""rsrq"":-19,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""}]"
1778569673229,2026-05-12 16:07:53,37.50522159,126.75276372,5.6822824,1.24,29.7,36.91357421875,LTE,NR_NSA,5G,true,false,true,false,false,51466241,32,3050,7,24603,450,06,-70,-10,-51,15,4,0,,,,13856,3489,0.1108,0.0279,4,0,4,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-81,""rsrq"":-18,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-57,""rsrq"":-13,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-68,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-74,""rsrq"":-19,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""}]"
1778569678234,2026-05-12 16:07:58,37.50527206,126.7528087,3.9182162,1.35,19.6,35.7271728515625,LTE,NR_NSA,5G,true,false,true,false,false,51466241,32,3050,7,24603,450,06,-72,-7,-51,10,4,0,,,,12005,3924,0.0960,0.0314,8,0,8,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-83,""rsrq"":-19,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":412,""earfcn"":3050,""tac"":2147483647,""rsrp"":-78,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-67,""rsrq"":-12,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-71,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":2600,""tac"":2147483647,""rsrp"":-73,""rsrq"":-18,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":100,""tac"":2147483647,""rsrp"":-78,""rsrq"":-12,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-84,""rsrq"":-18,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":100,""tac"":2147483647,""rsrp"":-75,""rsrq"":-12,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""}]"
1778569683239,2026-05-12 16:08:03,37.5053112,126.75279327,5.1235437,1.17,2.9,30.96826171875,LTE,NR_NSA,5G,true,false,true,false,false,51466241,32,3050,7,24603,450,06,-72,-7,-51,10,4,0,,,,307,211,0.0025,0.0017,8,0,8,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-83,""rsrq"":-19,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":412,""earfcn"":3050,""tac"":2147483647,""rsrp"":-78,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-67,""rsrq"":-12,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-71,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":2600,""tac"":2147483647,""rsrp"":-73,""rsrq"":-18,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":100,""tac"":2147483647,""rsrp"":-78,""rsrq"":-12,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-84,""rsrq"":-18,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":100,""tac"":2147483647,""rsrp"":-75,""rsrq"":-12,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""}]"
1778569688245,2026-05-12 16:08:08,37.50533244,126.75279454,4.325698,1.05,9.0,30.58905029296875,LTE,NR_NSA,5G,true,false,true,false,false,51466241,32,3050,7,24603,450,06,-72,-7,-51,10,4,0,,,,6484,462221,0.0519,3.6978,8,0,8,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-83,""rsrq"":-19,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":412,""earfcn"":3050,""tac"":2147483647,""rsrp"":-78,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-67,""rsrq"":-12,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-71,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":2600,""tac"":2147483647,""rsrp"":-73,""rsrq"":-18,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":100,""tac"":2147483647,""rsrp"":-78,""rsrq"":-12,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-84,""rsrq"":-18,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":100,""tac"":2147483647,""rsrp"":-75,""rsrq"":-12,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""}]"
1778569693249,2026-05-12 16:08:13,37.50534315,126.7528065,3.7900925,0.22,9.0,27.86651611328125,LTE,NR_NSA,5G,true,false,true,false,false,51466241,32,3050,7,24603,450,06,-72,-7,-51,10,4,0,,,,2467,3005,0.0197,0.0240,8,0,8,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-83,""rsrq"":-19,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":412,""earfcn"":3050,""tac"":2147483647,""rsrp"":-78,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-67,""rsrq"":-12,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-71,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":2600,""tac"":2147483647,""rsrp"":-73,""rsrq"":-18,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":100,""tac"":2147483647,""rsrp"":-78,""rsrq"":-12,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-84,""rsrq"":-18,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":100,""tac"":2147483647,""rsrp"":-75,""rsrq"":-12,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""}]"
1778569698253,2026-05-12 16:08:18,37.50535626,126.75281952,3.7900925,0.0,,28.2247314453125,LTE,NR_NSA,5G,true,false,true,false,false,51466241,32,3050,7,24603,450,06,-78,-9,-51,9,4,0,,,,4948,1624,0.0396,0.0130,8,0,8,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-83,""rsrq"":-18,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":3050,""tac"":2147483647,""rsrp"":-79,""rsrq"":-14,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-73,""rsrq"":-14,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-83,""rsrq"":-18,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":2600,""tac"":2147483647,""rsrp"":-79,""rsrq"":-16,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":2600,""tac"":2147483647,""rsrp"":-73,""rsrq"":-14,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":100,""tac"":2147483647,""rsrp"":-73,""rsrq"":-9,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-19,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778569703263,2026-05-12 16:08:23,37.50535626,126.75281952,3.7900925,0.0,,28.2247314453125,LTE,NR_NSA,5G,true,false,true,false,false,51466241,32,3050,7,24603,450,06,-78,-9,-51,9,4,0,,,,151,877,0.0012,0.0070,8,0,8,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-83,""rsrq"":-18,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":3050,""tac"":2147483647,""rsrp"":-79,""rsrq"":-14,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-73,""rsrq"":-14,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-83,""rsrq"":-18,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":2600,""tac"":2147483647,""rsrp"":-79,""rsrq"":-16,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":2600,""tac"":2147483647,""rsrp"":-73,""rsrq"":-14,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":100,""tac"":2147483647,""rsrp"":-73,""rsrq"":-9,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-19,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778569708267,2026-05-12 16:08:28,37.50535626,126.75281952,3.7900925,0.0,,28.2247314453125,LTE,NR_NSA,5G,true,false,true,false,false,51286272,474,3050,7,24622,450,06,-77,-10,-51,7,4,0,,,,1189,728,0.0095,0.0058,10,0,10,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":3050,""tac"":2147483647,""rsrp"":-81,""rsrq"":-12,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-86,""rsrq"":-17,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-79,""rsrq"":-15,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-82,""rsrq"":-14,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":2600,""tac"":2147483647,""rsrp"":-75,""rsrq"":-17,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":2600,""tac"":2147483647,""rsrp"":-74,""rsrq"":-10,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":100,""tac"":2147483647,""rsrp"":-76,""rsrq"":-7,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-19,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":100,""tac"":2147483647,""rsrp"":-88,""rsrq"":-17,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":100,""tac"":2147483647,""rsrp"":-93,""rsrq"":-17,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778569713277,2026-05-12 16:08:33,37.50535626,126.75281952,3.7900925,0.0,,28.2247314453125,LTE,NR_NSA,5G,true,false,true,false,false,51286272,474,3050,7,24622,450,06,-77,-10,-51,7,4,0,,,,227,310,0.0018,0.0025,10,0,10,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":3050,""tac"":2147483647,""rsrp"":-81,""rsrq"":-12,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":3050,""tac"":2147483647,""rsrp"":-86,""rsrq"":-17,""rssi"":-55,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-79,""rsrq"":-15,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":2600,""tac"":2147483647,""rsrp"":-82,""rsrq"":-14,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":2600,""tac"":2147483647,""rsrp"":-75,""rsrq"":-17,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":2600,""tac"":2147483647,""rsrp"":-74,""rsrq"":-10,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":100,""tac"":2147483647,""rsrp"":-76,""rsrq"":-7,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-19,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":100,""tac"":2147483647,""rsrp"":-88,""rsrq"":-17,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":100,""tac"":2147483647,""rsrp"":-93,""rsrq"":-17,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778569718286,2026-05-12 16:08:38,37.50531856,126.75285219,10.116171,1.51,122.1,29.44903564453125,LTE,NR_NSA,5G,true,false,true,false,false,51286272,474,3050,7,24622,450,06,-67,-6,-51,23,4,0,,,,780,465,0.0062,0.0037,6,0,6,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":3050,""tac"":2147483647,""rsrp"":-81,""rsrq"":-19,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-80,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":2600,""tac"":2147483647,""rsrp"":-68,""rsrq"":-11,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":100,""tac"":2147483647,""rsrp"":-65,""rsrq"":-9,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-96,""rsrq"":-20,""rssi"":-63,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":100,""tac"":2147483647,""rsrp"":-71,""rsrq"":-16,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""}]"
1778569723291,2026-05-12 16:08:43,37.50531856,126.75285219,10.116171,1.51,122.1,29.44903564453125,LTE,NR_NSA,5G,true,false,true,false,false,51286272,474,3050,7,24622,450,06,-67,-6,-51,23,4,0,,,,2165,3204,0.0173,0.0256,6,0,6,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":3050,""tac"":2147483647,""rsrp"":-81,""rsrq"":-19,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-80,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":2600,""tac"":2147483647,""rsrp"":-68,""rsrq"":-11,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":100,""tac"":2147483647,""rsrp"":-65,""rsrq"":-9,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":35,""earfcn"":100,""tac"":2147483647,""rsrp"":-96,""rsrq"":-20,""rssi"":-63,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":243,""earfcn"":100,""tac"":2147483647,""rsrp"":-71,""rsrq"":-16,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""}]"
1778569728298,2026-05-12 16:08:48,37.50531856,126.75285219,10.116171,1.51,122.1,29.44903564453125,LTE,NR_NSA,5G,true,false,true,false,false,51286272,474,3050,7,24622,450,06,-78,-6,-51,26,4,0,,,,347,510,0.0028,0.0041,5,0,5,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":479,""earfcn"":3050,""tac"":2147483647,""rsrp"":-90,""rsrq"":-20,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":32,""earfcn"":2600,""tac"":2147483647,""rsrp"":-80,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":2600,""tac"":2147483647,""rsrp"":-64,""rsrq"":-11,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":474,""earfcn"":100,""tac"":2147483647,""rsrp"":-76,""rsrq"":-9,""rssi"":-57,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":479,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-16,""rssi"":-57,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
